Run_Group,Run_ID,Spatial_Mode,Temporal_Mode,Best_Epoch,Val_Loss,Model,Learning_Rate,Batch_Size,Train_Time(s),Peak_Mem(MB),MAE_step3,RMSE_step3,MAPE_step3,MAE_step12,RMSE_step12,MAPE_step12
ASTGCN_lr0p001,0_0_20260318033244,0,0,39,22.3599,ASTGCN,0.001,64,4312.06,6271.42,1.8953,3.9114,4.1688,2.3557,5.0523,5.2081
ASTGCN_lr0p001,0_0_20260318055827,0,0,39,22.3599,ASTGCN,0.001,64,8407.86,6271.42,1.8953,3.9114,4.1688,2.3557,5.0523,5.2081
ASTGCN_lr0p001,0_0_20260319024523,0,0,5,19.3792,ASTGCN,0.001,64,1680.69,2724.24,2.0008,4.3043,4.4969,2.0278,4.3787,4.5655
ASTGCN_lr0p001,0_1_20260318055705,0,1,26,16.683,ASTGCN,0.001,64,9327.63,13150.7,1.6934,3.2674,3.5323,2.0587,4.1794,4.3991
ASTGCN_lr0p001,0_1_20260319024523,0,1,19,13.0427,ASTGCN,0.001,64,4909.02,7059.34,1.4686,2.955,3.0791,1.6816,3.5505,3.6341
ASTGCN_lr0p001,1_0_20260318034042,1,0,28,20.3724,ASTGCN,0.001,64,3711.9,3967.8,1.8893,3.8595,3.89,2.3759,5.1162,4.9945
ASTGCN_lr0p001,1_0_20260319024810,1,0,10,15.5905,ASTGCN,0.001,64,1538.48,2004.8,1.5862,3.3348,3.4164,1.7637,3.8188,3.8682
ASTGCN_lr0p001,1_1_20260318034042,1,1,23,16.8539,ASTGCN,0.001,64,4081.83,11404.72,1.7256,3.5425,3.5223,2.092,4.3824,4.4348
ASTGCN_lr0p001,1_1_20260319024810,1,1,19,12.8361,ASTGCN,0.001,64,4785.12,6521.43,1.3605,2.6997,2.7521,1.6181,3.44,3.4133
ASTGCN_lr0p001,1_1_20260414153308,1,1,23,16.8539,ASTGCN,0.001,64,3951.68,11406.22,1.7256,3.5425,3.5223,2.092,4.3824,4.4348
ASTGCN_lr0p001,1_1_20260424095416,1,1,13,16.6304,ASTGCN,0.001,64,4889.66,11944.52,1.7331,3.3635,3.589,2.1211,4.3234,4.5169
ASTGCN_lr0p001,1_1_20260425024607,1,1,42,16.0489,ASTGCN,0.001,64,4640.67,11737.94,1.5384,2.8623,3.1097,2.0317,4.193,4.3334
ASTGCN_lr0p001,1_1_20260425081219,1,1,18,16.1627,ASTGCN,0.001,64,4631.61,11938.03,1.6575,3.2021,3.4651,2.0636,4.2326,4.441
ASTGCN_lr0p001,1_1_20260425114532,1,1,17,16.6068,ASTGCN,0.001,64,4619.01,11944.52,1.632,3.2285,3.3514,2.1211,4.3798,4.4803
ASTGCN_lr0p001,1_1_20260425135307,1,1,20,16.1245,ASTGCN,0.001,64,4652.77,11944.52,1.5568,2.9224,3.178,1.9715,4.1173,4.2496
ASTGCN_lr0p001,1_1_20260426101054,1,1,43,32.6156,ASTGCN,0.001,64,5360.05,11676.44,3.0161,6.0363,6.7289,3.1217,6.1662,6.9776
ASTGCN_lr0p001,1_1_20260426121003,1,1,42,16.0489,ASTGCN,0.001,64,4823.12,11737.94,1.5384,2.8623,3.1097,2.0317,4.193,4.3334
ASTGCN_lr0p001,1_1_20260426134202,1,1,48,16.2437,ASTGCN,0.001,64,4769.32,11737.94,1.4072,2.7633,2.8583,1.902,4.1512,4.1157
ASTGCN_lr0p001,1_1_20260426150711,1,1,49,32.5057,ASTGCN,0.001,64,5452.98,11676.44,3.0292,5.9661,6.7396,3.1413,6.1114,6.9973
ASTGCN_lr0p001,1_1_20260427015338,1,1,49,18.2048,ASTGCN,0.001,64,4707.71,11731.45,1.8344,3.6764,3.825,2.1332,4.3588,4.5515
ASTGCN_lr0p001,1_1_20260427032313,1,1,49,18.2048,ASTGCN,0.001,64,4706.49,11731.45,1.8344,3.6764,3.825,2.1332,4.3588,4.5515
ASTGCN_lr0p001,1_1_20260427050707,1,1,49,18.2048,ASTGCN,0.001,64,4738.52,11731.45,1.8344,3.6764,3.825,2.1332,4.3588,4.5515
ASTGCN_lr0p001,1_1_20260427065844,1,1,40,15.6633,ASTGCN,0.001,64,4590.11,11737.94,1.5262,2.8899,3.0567,1.9316,3.9732,4.0697
ASTGCN_lr0p001,1_1_20260427082208,1,1,21,16.3646,ASTGCN,0.001,64,3966.27,11406.22,1.6709,3.3664,3.4726,2.0044,4.1406,4.2651
ASTGCN_lr0p001,1_1_20260503092821,1,1,10,22.7982,ASTGCN,0.001,64,1367.57,11737.94,2.1393,4.1128,4.7456,2.3715,4.6632,5.3116
ASTGCN_lr0p001,1_1_20260503093721,1,1,10,31.4072,ASTGCN,0.001,64,1576.31,11732.17,2.967,5.2985,6.8176,3.1084,5.579,7.1156
ASTGCN_lr0p001,1_1_20260503100704,1,1,47,13.6458,ASTGCN,0.001,64,6111.61,11732.17,1.3308,2.5871,2.684,1.8033,3.78,3.8489
ASTGCN_lr0p001,1_1_20260504015251,1,1,16,10.4698,ASTGCN,0.001,32,9256.82,5151.47,1.1292,2.2538,2.2684,1.4362,3.173,3.082
ASTGCN_lr0p001,1_1_20260506123720,1,1,10,103.9708,ASTGCN,0.001,64,914.21,7945.05,6.9641,8.9588,12.5345,7.9043,9.9635,14.132
ASTGCN_lr0p001,1_1_20260506130340,1,1,48,13.5721,ASTGCN,0.001,64,4419.83,7945.05,1.3081,2.5495,2.6089,1.8041,3.777,3.8317
ASTGCN_lr0p001,1_1_20260506142515,1,1,17,10.7881,ASTGCN,0.001,32,5642.06,3138.36,1.1307,2.2551,2.3313,1.4571,3.2153,3.1962
